"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"א זו רשטח","א זו ר","שטח","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א זר ח יאחיין","א זר ח י","אחיין","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א זר ח ינוקאי","א זר ח י","נוקאי","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א זר ח יצבאי","א זר ח י","צבאי","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א זר חאחֲמִים","א זר ח","אחֲמִים","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א זר חיַלדוּת","א זר ח","יַלדוּת","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ח ר יו תביאנ","א ח ר יו ת","ביאנ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ח ר יו תחוֹבָה","א ח ר יו ת","חוֹבָה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ח ר יו תתִסמוֹנֶת","א ח ר יו ת","תִסמוֹנֶת","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חו תאַלִיפוּת","א חו ת","אַלִיפוּת","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חו תאָח","א חו ת","אָח","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חו תצָהֳרַמבים","א חו ת","צָהֳרַמבים","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חמרחרום","א חמר","חרום","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חמרלבוא","א חמר","לבוא","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חמרמִרד","א חמר","מִרד","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א חמרצוונה","א חמר","צוונה","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א טו מ יגַרעִינִי","א טו מ י","גַרעִינִי","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א טו מ יהַגזִים","א טו מ י","הַגזִים","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א טו מ יעֶמֶק","א טו מ י","עֶמֶק","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א יד א ל יּקָשָׁה","א יד א ל י","ּקָשָׁה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א יד א ל ימושלם","א יד א ל י","מושלם","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א יד א ל ישִׁיר","א יד א ל י","שִׁיר","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א יד א לסזזתלֶד","א יד א לסז","זתלֶד","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א יד א לסזחולם","א יד א לסז","חולם","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ירו נ י האִירוֹנִי","א ירו נ י ה","אִירוֹנִי","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ירו נ י הבקביעות","א ירו נ י ה","בקביעות","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ירו נ י ההוֹדָע","א ירו נ י ה","הוֹדָע","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לב ו םהזמי","א לב ו ם","הזמי","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לב ו םמטר","א לב ו ם","מטר","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לב ו םשִׁיר","א לב ו ם","שִׁיר","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לו ףארבעה","א לו ף","ארבעה","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לו ףחדטרשינה","א לו ף","חדטרשינה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לו ףלוֹחֶם","א לו ף","לוֹחֶם","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לודְרָשָׁה","א לו","דְרָשָׁה","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א לוהםּירוּרגִיָה","א לו","הםּירוּרגִיָה","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א למ נ האִשָׁה","א למ נ ה","אִשָׁה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א למ נ הואן","א למ נ ה","ואן","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א למ נ הוןרוֹעַ","א למ נ ה","וןרוֹעַ","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מ אאַבָּא","א מ א","אַבָּא","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מ אדִין","א מ א","דִין","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מ אפראנורמלית","א מ א","פראנורמלית","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מ ןלהטרין","א מ ן","להטרין","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מ ןשָׁעוֹן עֶצֶר","א מ ן","שָׁעוֹן עֶצֶר","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מב ו ל נסדכם","א מב ו ל נס","דכם","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מב ו ל נסמַסוֹק","א מב ו ל נס","מַסוֹק","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א מב ו ל נסתּוּת","א מב ו ל נס","תּוּת","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ טו מ י הלַחקוֹר","א נ טו מ י ה","לַחקוֹר","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ טו מ י הפְּסִיכוֹלוֹגִיָה","א נ טו מ י ה","פְּסִיכוֹלוֹגִיָה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ טו מ י הרָפֶל","א נ טו מ י ה","רָפֶל","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ טו מ יחןרְאָה","א נ טו מ י","חןרְאָה","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ טו מ יריקוד","א נ טו מ י","ריקוד","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ רכ י הארון בגדים","א נ רכ י ה","ארון בגדים","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ רכ י הןקא הוֹגֶן","א נ רכ י ה","ןקא הוֹגֶן","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נ רכ י הקָפִּיטָלִיזם","א נ רכ י ה","קָפִּיטָלִיזם","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נד רט הזתקפָּאָה","א נד רט ה","זתקפָּאָה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נד רט החדר אמבטיה","א נד רט ה","חדר אמבטיה","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א נד רט הפסל","א נד רט ה","פסל","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א סטרו נ או טטַיָס","א סטרו נ או ט","טַיָס","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א סטרו נ או טלבוא","א סטרו נ או ט","לבוא","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א סטרו נ או טעץבָּלָה","א סטרו נ או ט","עץבָּלָה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ספ  יר יןךשבְנֶה","א ספ  יר ין","ךשבְנֶה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ספ  יר יןמַסלוּל","א ספ  יר ין","מַסלוּל","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ספ  יר יןמוֹרפִין","א ספ  יר ין","מוֹרפִין","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פ ר יק האמריקה","א פ ר יק ה","אמריקה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פ ר יק החַמצָן","א פ ר יק ה","חַמצָן","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פ ר יק השׁפָּה","א פ ר יק ה","שׁפָּה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פ ראָבָק","א פ ר","אָבָק","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פ רלברך","א פ ר","לברך","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פ רןחתקָבֵּל עַל הַדַעַת","א פ ר","ןחתקָבֵּל עַל הַדַעַת","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פש  רכםהַפְרִיעַ","א פש  ר","כםהַפְרִיעַ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א פש  ררָשׁוּת","א פש  ר","רָשׁוּת","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צ יל יאַמִיץ","א צ יל י","אַמִיץ","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צ יל יךנסְחוֹט","א צ יל י","ךנסְחוֹט","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צ יל ישמאל","א צ יל י","שמאל","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צב  עאֲגוּדָל","א צב  ע","אֲגוּדָל","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צב  עמוּסָך","א צב  ע","מוּסָך","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צב  עתְאוּנטז","א צב  ע","תְאוּנטז","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צבןיעקלַאסִי","א צבןיע","קלַאסִי","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צבןיעת","א צבןיע","ת","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צט דיו ןּלָה","א צט דיו ן","ּלָה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צט דיו ןבייסבול","א צט דיו ן","בייסבול","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א צט דיו ןלשבור","א צט דיו ן","לשבור","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ק ד חבויג","א ק ד ח","בויג","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ק ד חגלוֹבָּלִי","א ק ד ח","גלוֹבָּלִי","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ק ד חנֶשֶׁק","א ק ד ח","נֶשֶׁק","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ר מו ןוִידֵאוֹ","א ר מו ן","וִידֵאוֹ","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ר מו ןטִירָה","א ר מו ן","טִירָה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ר מו ןףאדָחָה","א ר מו ן","ףאדָחָה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ר מוארוך","א ר מו","ארוך","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ר מוליחיק","א ר מו","ליחיק","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א רו ח ת ע ר באומללות","א רו ח ת ע ר ב","אומללות","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א רו ח ת ע ר בארוחת בוקר","א רו ח ת ע ר ב","ארוחת בוקר","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א רו ח ת ע ר בהַלוָי","א רו ח ת ע ר ב","הַלוָי","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש  ל י הּדוּר","א ש  ל י ה","ּדוּר","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש  ל י ההֲזָיָה","א ש  ל י ה","הֲזָיָה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש  ל י הנוֹסָף","א ש  ל י ה","נוֹסָף","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש ו רלְאַשֵׁר","א ש ו ר","לְאַשֵׁר","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש ו רמקצועי","א ש ו ר","מקצועי","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש ו רןהשׁפָּחָה","א ש ו ר","ןהשׁפָּחָה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש פ  הׁחַר","א ש פ  ה","ׁחַר","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש פ  הזבל","א ש פ  ה","זבל","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש פ  הנוֹרמָלִי","א ש פ  ה","נוֹרמָלִי","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש פוןרוֹעַ","א ש פ","וןרוֹעַ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש פכּוֹבַע","א ש פ","כּוֹבַע","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש ר איהַלוָיָה","א ש ר אי","הַלוָיָה","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש ר אילְהַלווֹת","א ש ר אי","לְהַלווֹת","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א ש ר איסָגו","א ש ר אי","סָגו","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א שלֶהָבָה","א ש","לֶהָבָה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א שלהבין","א ש","להבין","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"א שפְּגִישָךל","א ש","פְּגִישָךל","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אַבִּיקמִנזָר","אַבִּיק","מִנזָר","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אַבִּיקנכבי","אַבִּיק","נכבי","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אַבִּיקתשובה","אַבִּיק","תשובה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבולוציהבת דודה","אבולוציה","בת דודה","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבולוציהזתלֶד","אבולוציה","זתלֶד","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבולוציהמוּטָצִיָה","אבולוציה","מוּטָצִיָה","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבולשחיהחוֹבזמ","אבולשחיה","חוֹבזמ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבולשחיהלְנַסוֹת","אבולשחיה","לְנַסוֹת","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבטת","אב","טת","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אביבכיר","אביב","כיר","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אביבמזלג","אביב","מזלג","unrelated","word","word",0.0588281954832231,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אביבסתָיו","אביב","סתָיו","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבקת שריפהדִינָמִיט","אבקת שריפה","דִינָמִיט","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבקת שריפהמנום","אבקת שריפה","מנום","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבקת שריפהנִמלָט","אבקת שריפה","נִמלָט","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבקתקעריפהסִיר","אבקתקעריפה","סִיר","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אבקתקעריפהתחליף","אבקתקעריפה","תחליף","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אברוּחַ","אב","רוּחַ","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"אהֲזָיָה","א","הֲזָיָה","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או י ביָרִיב","או י ב","יָרִיב","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או י בכָּבֵד","או י ב","כָּבֵד","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או י במַאֲבדר","או י ב","מַאֲבדר","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או יטִפּשׁוּת","או י","טִפּשׁוּת","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או ימזיה","או י","מזיה","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או כ לו ס י האֲנָשִׁים","או כ לו ס י ה","אֲנָשִׁים","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או כ לו ס י השָׁה","או כ לו ס י ה","שָׁה","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או כ לו ס י השׁוֹד","או כ לו ס י ה","שׁוֹד","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או מל לדִיוּן","או מל ל","דִיוּן","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"או מל לכץלִיבִּי","או מל ל","כץלִיבִּי","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
